mpn,manufacturer,category,source_url,final_url,http_status,content_type,file_size,local_path,sha256,state,failure_reason,attempts,last_attempt
RC0603FR-07150L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07220L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07330L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07470L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07680L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-071KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-071K5L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-072K2L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-073K3L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-074K7L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-076K8L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-0710KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-0715KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-0722KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-0733KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-0747KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-0768KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07100KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07150KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07220KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07330KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07470KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-07680KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0603FR-071ML,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-071RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-071R5L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-072R2L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-073R3L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-074R7L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-076R8L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0710RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0715RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0722RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0733RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0747RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0768RL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07100L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07150L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07220L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07330L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07470L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07680L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-071KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-071K5L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-072K2L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-073K3L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-074K7L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-076K8L,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0710KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0715KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0722KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0733KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0747KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-0768KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07100KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07150KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07220KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07330KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07470KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-07680KL,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
RC0805FR-071ML,Yageo,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Yageo,0,
CRCW04021R00FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04021R50FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04022R20FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04023R30FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04024R70FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04026R80FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040210R0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040215R0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040222R0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040233R0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040247R0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040268R0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402100RFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402150RFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402220RFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402330RFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402470RFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402680RFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04021K00FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04021K50FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04022K20FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04023K30FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04024K70FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04026K80FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040210K0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040215K0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040222K0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040233K0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040247K0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW040268K0FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402100KFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402150KFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402220KFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402330KFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402470KFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW0402680KFKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
CRCW04021M00FKED,Vishay,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Vishay,0,
ERJ-2GEJ1R0X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ1R5X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ2R2X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ3R3X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ4R7X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ6R8X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ100X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ150X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ220X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ330X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ470X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ680X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ101X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ151X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ221X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ331X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ471X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ681X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ102X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ152X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ222X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ332X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ472X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ682X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ103X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ153X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ223X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ333X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ473X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ683X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ104X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
ERJ-2GEJ154X,Panasonic,Resistor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Panasonic,0,
GRM1555C1H1R0CA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H1R5CA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H2R2CA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H3R3CA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H4R7CA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H6R8DA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H100JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H150JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H220JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H330JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H470JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H680JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H101JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H151JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H221JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H331JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H471JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H681JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H102JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H152JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H222JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H332JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H472JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H682JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM1555C1H103JA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C103KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C153KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C223KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C333KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C473KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C683KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C104KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C154KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71C224KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71E103KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71E153KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71E223KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71E333KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
GRM155R71E473KA01,Murata,Capacitor,,,0,,0,,,ACCESS_BLOCKED,No known working source for manufacturer: Murata,0,
